cell_type	target	binding	perb_score
Late_Male_L5_6_NP	ADRA2A	antagonist	1.2509268882771e-17
Late_Male_Pax6	ADRA2A	antagonist	8.05070193203156e-11
Late_Male_OPC	ADRA2A	antagonist	2.64653248502363e-11
Late_Male_VLMC___Perivascular	ADRA2A	antagonist	7.82295309370617e-11
Late_Male_Sncg	ADRA2A	antagonist	9.1080167277983e-11
Early_Female_Pax6	ANKH	antagonist	2.0268057910453e-09
Early_Female_L5_6_NP	ANKH	antagonist	9.53795634221882e-10
Early_Female_Chandelier	ANKH	antagonist	1.27850594723511e-09
Early_Female_L6_IT	ANKH	antagonist	2.65736083062763e-10
Early_Female_Oligodendrocyte	ANKH	antagonist	1.35427149325493e-09
Early_Female_Sst	ANKH	antagonist	1.60420165659593e-09
Early_Male_Astrocyte	ANKH	antagonist	6.73211894841854e-10
Early_Female_OPC	ANKH	antagonist	9.07827012779843e-11
Early_Female_Sncg	ANKH	antagonist	1.01865563300774e-09
Early_Female_Lamp5	ANKH	antagonist	3.10786779956469e-10
Early_Female_Pvalb	ANKH	antagonist	4.38648147139958e-10
Early_Female_L6_CT	ANKH	antagonist	1.8456677815715e-09
Early_Female_Astrocyte	ANKH	antagonist	1.38459228636638e-10
Early_Female_L2_3_IT	ANKH	antagonist	1.18030015545482e-09
Early_Male_L6b	ANKH	antagonist	1.40319872096763e-09
Early_Male_L6_CT	ANKH	antagonist	3.60865371138037e-11
Early_Male_Chandelier	ANKH	antagonist	1.25331747405999e-09
Early_Female_Lamp5_Lhx6	ANKH	antagonist	5.28174254757636e-11
Early_Female_L6_IT_Car3	ANKH	antagonist	7.08569243719964e-10
Early_Male_L5_6_NP	ANKH	antagonist	2.06434857139193e-09
Early_Male_Immune	ANKH	antagonist	3.74493448903679e-10
Early_Female_Vip	ANKH	antagonist	6.62522802417784e-10
Early_Male_Lamp5_Lhx6	ANKH	antagonist	4.82901032583057e-10
Early_Male_L4_IT	ANKH	antagonist	8.64365947446516e-10
Early_Female_Immune	ANKH	antagonist	1.03566606965814e-09
Early_Female_L5_IT	ANKH	antagonist	5.0440052318431e-10
Early_Female_L4_IT	ANKH	antagonist	9.97430217062261e-10
Early_Male_L6_IT	ANKH	antagonist	1.16961268247109e-09
Early_Male_L5_IT	ANKH	antagonist	9.55108950959425e-10
Late_Female_Immune	ANKH	antagonist	5.42399017258273e-10
Early_Male_L2_3_IT	ANKH	antagonist	4.27447359436451e-10
Early_Male_OPC	ANKH	antagonist	6.66757634489493e-10
Early_Male_Lamp5	ANKH	antagonist	2.04417228517754e-09
Early_Male_Oligodendrocyte	ANKH	antagonist	9.42902359089108e-10
Early_Male_Sncg	ANKH	antagonist	1.38772505426131e-09
Late_Female_Endothelial	ANKH	antagonist	4.26745455744958e-10
Late_Female_Astrocyte	ANKH	antagonist	1.22842972376218e-09
Early_Male_Sst	ANKH	antagonist	1.76130109535877e-09
Late_Female_Chandelier	ANKH	antagonist	9.68744008324396e-10
Early_Male_Vip	ANKH	antagonist	2.26905641837291e-09
Late_Female_L5_ET	ANKH	antagonist	7.95316243605641e-10
Late_Female_L5_6_NP	ANKH	antagonist	3.61389561859598e-10
Late_Female_L2_3_IT	ANKH	antagonist	4.72912921877769e-10
Early_Male_Pvalb	ANKH	antagonist	2.29842380687374e-09
Late_Female_L4_IT	ANKH	antagonist	1.01331049749384e-09
Late_Female_L6_IT	ANKH	antagonist	1.86152185582331e-09
Late_Female_L6_IT_Car3	ANKH	antagonist	3.58853364613307e-10
Late_Female_Sst	ANKH	antagonist	6.84238351080246e-10
Late_Female_Vip	ANKH	antagonist	1.37977213596553e-09
Late_Female_L6_CT	ANKH	antagonist	1.4478328502331e-09
Late_Female_Lamp5_Lhx6	ANKH	antagonist	1.34197113201154e-09
Late_Female_L5_IT	ANKH	antagonist	3.31700286035711e-10
Late_Female_Lamp5	ANKH	antagonist	3.23592226389002e-09
Late_Male_Astrocyte	ANKH	antagonist	9.67163639066744e-10
Late_Female_L6b	ANKH	antagonist	1.24459221201219e-09
Late_Female_OPC	ANKH	antagonist	5.63508840005101e-10
Late_Female_Sncg	ANKH	antagonist	1.6940605462958e-10
Late_Male_Chandelier	ANKH	antagonist	3.4632414872271e-09
Late_Female_Pax6	ANKH	antagonist	1.21731647713115e-09
Late_Female_VLMC___Perivascular	ANKH	antagonist	1.8265523398433e-10
Late_Male_L5_IT	ANKH	antagonist	1.10986904366962e-09
Late_Male_L6_IT_Car3	ANKH	antagonist	3.94299475814558e-10
Late_Male_Lamp5_Lhx6	ANKH	antagonist	1.87188704995326e-09
Late_Female_Pvalb	ANKH	antagonist	1.06505676969076e-09
Late_Male_L5_ET	ANKH	antagonist	8.42197833138835e-12
Late_Male_Endothelial	ANKH	antagonist	6.82932877465288e-10
Late_Male_L2_3_IT	ANKH	antagonist	6.62690994975298e-11
Late_Male_L6_IT	ANKH	antagonist	1.85423313492867e-09
Late_Female_Oligodendrocyte	ANKH	antagonist	3.30956309651885e-09
Late_Male_L4_IT	ANKH	antagonist	3.99111468228578e-10
Late_Male_Immune	ANKH	antagonist	8.81911350214234e-10
Late_Male_L6_CT	ANKH	antagonist	1.57212819259645e-09
Late_Male_Oligodendrocyte	ANKH	antagonist	1.71289854785006e-09
Late_Male_Pvalb	ANKH	antagonist	3.55852731475961e-10
Late_Male_Lamp5	ANKH	antagonist	2.66278003744092e-09
Late_Male_Sst	ANKH	antagonist	1.36435644344757e-09
Late_Male_Vip	ANKH	antagonist	1.49302751350839e-09
Late_Male_L6b	ANKH	antagonist	5.71236555912082e-10
Late_Male_L5_6_NP	ANKH	antagonist	2.6076496331716e-09
Late_Male_Pax6	ANKH	antagonist	1.06193931859266e-09
Late_Male_OPC	ANKH	antagonist	1.4155200424588e-09
Late_Male_VLMC___Perivascular	ANKH	antagonist	3.90782444767536e-10
Late_Male_Sncg	ANKH	antagonist	2.19554164056542e-09
Early_Female_Pax6	CACNA1C	antagonist	2.99814323676026e-09
Early_Female_L5_6_NP	CACNA1C	antagonist	2.91566977857612e-09
Early_Female_Chandelier	CACNA1C	antagonist	7.05867891299413e-10
Early_Female_L6_IT	CACNA1C	antagonist	1.71539334048523e-09
Early_Female_Oligodendrocyte	CACNA1C	antagonist	1.1204795797798e-09
Early_Female_Sst	CACNA1C	antagonist	1.67462209051069e-09
Early_Male_Astrocyte	CACNA1C	antagonist	3.20967998843092e-10
Early_Female_OPC	CACNA1C	antagonist	2.79423715014757e-10
Early_Female_Sncg	CACNA1C	antagonist	1.60988429772232e-09
Early_Female_Lamp5	CACNA1C	antagonist	1.66028350691531e-09
Early_Female_Pvalb	CACNA1C	antagonist	8.85997667054374e-10
Early_Female_L6_CT	CACNA1C	antagonist	3.15697545062545e-09
Early_Female_Astrocyte	CACNA1C	antagonist	1.20369120261748e-09
Early_Female_L2_3_IT	CACNA1C	antagonist	1.50522261093054e-09
Early_Male_L6b	CACNA1C	antagonist	1.83086288538279e-09
Early_Male_L6_CT	CACNA1C	antagonist	1.89058558456346e-09
Early_Male_Chandelier	CACNA1C	antagonist	2.65889894757523e-10
Early_Female_Lamp5_Lhx6	CACNA1C	antagonist	3.06441340746334e-10
Early_Female_L6_IT_Car3	CACNA1C	antagonist	7.46808068476151e-11
Early_Male_L5_6_NP	CACNA1C	antagonist	2.5545823535521e-09
Early_Male_Immune	CACNA1C	antagonist	2.56224579106735e-10
Early_Female_Vip	CACNA1C	antagonist	4.60835072180279e-10
Early_Male_Lamp5_Lhx6	CACNA1C	antagonist	3.10844199563529e-09
Early_Male_L4_IT	CACNA1C	antagonist	3.26861538360035e-09
Early_Female_Immune	CACNA1C	antagonist	6.16099541243112e-10
Early_Female_L5_IT	CACNA1C	antagonist	1.77460561096515e-09
Early_Female_L4_IT	CACNA1C	antagonist	4.08631010879853e-09
Early_Male_L6_IT	CACNA1C	antagonist	2.64987051386975e-09
Early_Male_L5_IT	CACNA1C	antagonist	4.91215599001904e-09
Late_Female_Immune	CACNA1C	antagonist	4.48659181843259e-10
Early_Male_L2_3_IT	CACNA1C	antagonist	9.17638334151574e-10
Early_Male_OPC	CACNA1C	antagonist	1.18657299834738e-09
Early_Male_Lamp5	CACNA1C	antagonist	1.75011016397833e-09
Early_Male_Oligodendrocyte	CACNA1C	antagonist	1.36732030285353e-09
Early_Male_Sncg	CACNA1C	antagonist	1.15966577348169e-09
Late_Female_Endothelial	CACNA1C	antagonist	1.03673397590623e-09
Late_Female_Astrocyte	CACNA1C	antagonist	4.84739179724691e-10
Early_Male_Sst	CACNA1C	antagonist	6.12635620728398e-10
Late_Female_Chandelier	CACNA1C	antagonist	2.93805203158423e-09
Early_Male_Vip	CACNA1C	antagonist	1.76970133322823e-09
Late_Female_L5_ET	CACNA1C	antagonist	1.50863322894686e-09
Late_Female_L5_6_NP	CACNA1C	antagonist	2.79716891926716e-09
Late_Female_L2_3_IT	CACNA1C	antagonist	2.43792986770905e-09
Early_Male_Pvalb	CACNA1C	antagonist	1.38606873157436e-09
Late_Female_L4_IT	CACNA1C	antagonist	5.31969154305101e-10
Late_Female_L6_IT	CACNA1C	antagonist	1.36298072809625e-09
Late_Female_L6_IT_Car3	CACNA1C	antagonist	1.96895545096206e-09
Late_Female_Sst	CACNA1C	antagonist	2.21109387959892e-09
Late_Female_Vip	CACNA1C	antagonist	2.12354931755027e-09
Late_Female_L6_CT	CACNA1C	antagonist	9.25091918747417e-10
Late_Female_Lamp5_Lhx6	CACNA1C	antagonist	2.33846822795593e-09
Late_Female_L5_IT	CACNA1C	antagonist	1.2669735373305e-09
Late_Female_Lamp5	CACNA1C	antagonist	2.80394177693925e-09
Late_Male_Astrocyte	CACNA1C	antagonist	3.94346114664764e-10
Late_Female_L6b	CACNA1C	antagonist	1.59598389220214e-09
Late_Female_OPC	CACNA1C	antagonist	1.57888401383539e-09
Late_Female_Sncg	CACNA1C	antagonist	1.82669579246176e-09
Late_Male_Chandelier	CACNA1C	antagonist	2.37406669770451e-09
Late_Female_Pax6	CACNA1C	antagonist	4.12078370278103e-10
Late_Female_VLMC___Perivascular	CACNA1C	antagonist	1.66719446336566e-08
Late_Male_L5_IT	CACNA1C	antagonist	2.1615639544533e-09
Late_Male_L6_IT_Car3	CACNA1C	antagonist	4.96669422747113e-10
Late_Male_Lamp5_Lhx6	CACNA1C	antagonist	4.71331021315829e-10
Late_Female_Pvalb	CACNA1C	antagonist	3.38434061661167e-09
Late_Male_L5_ET	CACNA1C	antagonist	4.88251343856113e-09
Late_Male_Endothelial	CACNA1C	antagonist	5.93925313801041e-09
Late_Male_L2_3_IT	CACNA1C	antagonist	7.55151839876644e-10
Late_Male_L6_IT	CACNA1C	antagonist	2.5699985849022e-09
Late_Female_Oligodendrocyte	CACNA1C	antagonist	1.00391872356949e-10
Late_Male_L4_IT	CACNA1C	antagonist	2.59934496061821e-09
Late_Male_Immune	CACNA1C	antagonist	5.58326364004758e-10
Late_Male_L6_CT	CACNA1C	antagonist	1.18980102802043e-09
Late_Male_Oligodendrocyte	CACNA1C	antagonist	1.49382187872217e-09
Late_Male_Pvalb	CACNA1C	antagonist	1.22322108415852e-09
