cell_type	target	binding	perb_score
L5_6_NP_Late_APOE4_Neg	ADAMTS1	antagonist	1.91066386409102e-12
L2_3_IT_Early_APOE4_Neg	ADAMTS1	antagonist	3.79160193634881e-11
Immune_Late_APOE4_Pos	ADAMTS1	antagonist	1.04127183809506e-10
Astrocyte_Late_APOE4_Neg	ADAMTS1	antagonist	2.3434629230003e-10
L5_ET_Late_APOE4_Pos	ADAMTS1	antagonist	1.30590706529228e-10
L5_6_NP_Late_APOE4_Pos	ADAMTS1	antagonist	4.70424787688574e-12
Endothelial_Late_APOE4_Pos	ADAMTS1	antagonist	1.68160551917625e-09
L4_IT_Late_APOE4_Pos	ADAMTS1	antagonist	2.84681569175562e-11
Chandelier_Late_APOE4_Neg	ADAMTS1	antagonist	1.30365137294782e-10
Astrocyte_Early_APOE4_Neg	ADAMTS1	antagonist	2.21241610966811e-11
Immune_Early_APOE4_Neg	ADAMTS1	antagonist	5.29109050114661e-11
L5_IT_Late_APOE4_Neg	ADAMTS1	antagonist	7.45252528527255e-11
L2_3_IT_Late_APOE4_Neg	ADAMTS1	antagonist	6.38174304107256e-11
Immune_Late_APOE4_Neg	ADAMTS1	antagonist	1.85996487118409e-10
L4_IT_Late_APOE4_Neg	ADAMTS1	antagonist	3.15395674582048e-11
L5_6_NP_Early_APOE4_Neg	ADAMTS1	antagonist	5.52907782310268e-13
L2_3_IT_Late_APOE4_Pos	ADAMTS1	antagonist	1.30365368870887e-10
Astrocyte_Late_APOE4_Pos	ADAMTS1	antagonist	9.55778099994417e-10
L6b_Early_APOE4_Neg	ADAMTS1	antagonist	1.09441062203944e-10
Lamp5_Late_APOE4_Neg	ADAMTS1	antagonist	1.67851959400468e-10
Chandelier_Late_APOE4_Pos	ADAMTS1	antagonist	2.38322607219668e-10
L6_IT_Car3_Early_APOE4_Neg	ADAMTS1	antagonist	3.4019819779911e-11
Lamp5_Lhx6_Late_APOE4_Neg	ADAMTS1	antagonist	1.47511240109436e-10
L5_IT_Late_APOE4_Pos	ADAMTS1	antagonist	1.48162279043124e-11
Lamp5_Late_APOE4_Pos	ADAMTS1	antagonist	7.18139760142056e-11
L6_IT_Late_APOE4_Neg	ADAMTS1	antagonist	5.65917772261909e-11
L6_IT_Late_APOE4_Pos	ADAMTS1	antagonist	5.59739426548193e-11
L6_CT_Late_APOE4_Pos	ADAMTS1	antagonist	5.02109130643581e-11
Lamp5_Lhx6_Late_APOE4_Pos	ADAMTS1	antagonist	8.31475613705719e-12
Lamp5_Early_APOE4_Neg	ADAMTS1	antagonist	4.03725918395106e-11
Lamp5_Lhx6_Early_APOE4_Neg	ADAMTS1	antagonist	9.10558329468238e-11
L6_CT_Early_APOE4_Neg	ADAMTS1	antagonist	8.0305023633513e-11
L6_IT_Car3_Late_APOE4_Neg	ADAMTS1	antagonist	1.63075265382907e-11
OPC_Late_APOE4_Pos	ADAMTS1	antagonist	2.48257023889426e-10
L6b_Late_APOE4_Neg	ADAMTS1	antagonist	9.11809011062767e-11
L6b_Late_APOE4_Pos	ADAMTS1	antagonist	8.00404749427501e-11
Pax6_Early_APOE4_Neg	ADAMTS1	antagonist	2.92848304349113e-11
L6_IT_Early_APOE4_Neg	ADAMTS1	antagonist	7.4460541232246e-11
L6_CT_Late_APOE4_Neg	ADAMTS1	antagonist	8.23731479855753e-11
OPC_Late_APOE4_Neg	ADAMTS1	antagonist	4.56201458243792e-11
Oligodendrocyte_Late_APOE4_Neg	ADAMTS1	antagonist	6.54777244830151e-10
OPC_Early_APOE4_Neg	ADAMTS1	antagonist	1.07600487331688e-10
Oligodendrocyte_Early_APOE4_Neg	ADAMTS1	antagonist	5.3726519104001e-10
L6_IT_Car3_Late_APOE4_Pos	ADAMTS1	antagonist	7.81440041433003e-11
VLMC___Perivascular_Late_APOE4_Neg	ADAMTS1	antagonist	2.71295256646169e-10
