cell_type	target	perb_score
123_Endo	MME	6.93889390390723e-17
456_Micro	IDUA	1.37248113772444e-11
123_Micro	IDUA	2.33907312221755e-10
123_OPC	IDUA	3.11606545840203e-10
123_Oligo	IDUA	3.29423210421868e-10
456_Oligo	IDUA	2.00453061893314e-10
123_Astro	IDUA	4.23452109385294e-11
456_Endo	IDUA	2.91583732555007e-11
456_OPC	IDUA	3.61257295591328e-10
123_Inh	IDUA	1.36047431409721e-10
456_Astro	IDUA	7.07246331306227e-11
123_Exc	IDUA	3.13811082845697e-12
456_Inh	IDUA	1.86615819358604e-10
456_Exc	IDUA	2.38873423853131e-11
123_Endo	IDUA	7.08793840720534e-11
456_Micro	CLNK	6.66328958732666e-11
123_Micro	CLNK	1.40052162910541e-12
123_OPC	CLNK	4.45697204263626e-11
123_Oligo	CLNK	2.84138631394537e-10
456_Oligo	CLNK	1.01548904944242e-10
123_Astro	CLNK	5.87972385102222e-11
456_Endo	CLNK	3.37446207718064e-12
456_OPC	CLNK	1.43446781350137e-10
123_Inh	CLNK	3.41401506787453e-11
456_Astro	CLNK	4.12467011009485e-11
123_Exc	CLNK	2.27941882318063e-11
456_Inh	CLNK	1.48036558516436e-11
456_Exc	CLNK	7.44243893643501e-12
123_Endo	CLNK	3.20612916341835e-11
456_Micro	RHOH	5.33266121362288e-10
123_Micro	RHOH	5.03492041637954e-10
123_OPC	RHOH	2.35947901993096e-17
123_Oligo	RHOH	1.85268548447951e-18
456_Oligo	RHOH	1.17784636300497e-10
123_Astro	RHOH	8.44084124071248e-11
456_Endo	RHOH	1.43817355503282e-10
456_OPC	RHOH	7.92201624337278e-12
123_Inh	RHOH	1.08643742938401e-12
456_Astro	RHOH	1.79770185020982e-10
123_Exc	RHOH	1.63152665276896e-11
456_Inh	RHOH	6.06598372333176e-11
456_Exc	RHOH	1.76622723072222e-12
123_Endo	RHOH	5.96980222877833e-11
456_Micro	ANKH	1.69325931474317e-09
123_Micro	ANKH	1.79806246708686e-09
123_OPC	ANKH	1.97832569456214e-10
123_Oligo	ANKH	1.79254722482611e-09
456_Oligo	ANKH	2.30012309634176e-10
123_Astro	ANKH	4.69942702397307e-10
456_Endo	ANKH	4.11644527381124e-10
456_OPC	ANKH	3.43368299381862e-09
123_Inh	ANKH	1.40381656746452e-09
456_Astro	ANKH	1.37720408571528e-09
123_Exc	ANKH	1.55677648259867e-09
456_Inh	ANKH	2.52403290004794e-09
456_Exc	ANKH	1.8476520677306e-09
123_Endo	ANKH	3.8510368083902e-09
456_Micro	COX7C	5.75405700242614e-11
123_Micro	COX7C	7.88832674576671e-10
123_OPC	COX7C	1.55583318400119e-10
123_Oligo	COX7C	2.45426663961301e-11
456_Oligo	COX7C	8.98647076498753e-11
123_Astro	COX7C	1.86104529616634e-10
456_Endo	COX7C	2.90990668810631e-10
456_OPC	COX7C	2.19207561726533e-10
123_Inh	COX7C	1.60475946062792e-09
456_Astro	COX7C	4.32110045186851e-10
123_Exc	COX7C	3.80805482739e-10
456_Inh	COX7C	4.28503484396788e-10
456_Exc	COX7C	3.66389462246129e-10
123_Endo	COX7C	8.89974141080601e-10
456_Micro	TNIP1	5.54289528694423e-10
123_Micro	TNIP1	2.84356204802e-11
123_OPC	TNIP1	5.10104770481489e-10
123_Oligo	TNIP1	1.17734143182021e-10
456_Oligo	TNIP1	5.23484890233604e-10
123_Astro	TNIP1	8.1534197997651e-11
456_Endo	TNIP1	1.29115815960533e-10
456_OPC	TNIP1	5.0843341219696e-11
123_Inh	TNIP1	1.24244388412006e-10
456_Astro	TNIP1	8.15895355114673e-11
123_Exc	TNIP1	7.50374391334728e-11
456_Inh	TNIP1	5.28315503481068e-11
456_Exc	TNIP1	3.67053234986222e-10
123_Endo	TNIP1	1.80402855362774e-10
456_Micro	RASGEF1C	3.95631648184859e-09
123_Micro	RASGEF1C	5.36704948201078e-10
123_OPC	RASGEF1C	9.76694708750414e-10
123_Oligo	RASGEF1C	8.86150053547152e-10
456_Oligo	RASGEF1C	4.33689892783325e-10
123_Astro	RASGEF1C	6.12359831352665e-11
456_Endo	RASGEF1C	1.29697987180401e-11
456_OPC	RASGEF1C	3.10466695316815e-10
123_Inh	RASGEF1C	2.42438483094244e-10
456_Astro	RASGEF1C	3.9644879810702e-11
123_Exc	RASGEF1C	2.54080415415283e-10
456_Inh	RASGEF1C	2.42305135260788e-10
456_Exc	RASGEF1C	4.16648986184017e-10
123_Endo	RASGEF1C	1.07524676169798e-10
456_Micro	HLA-DQA1	8.18510177211406e-10
123_Micro	HLA-DQA1	9.44844104162344e-10
123_OPC	HLA-DQA1	1.36109481554223e-16
123_Oligo	HLA-DQA1	2.0888836804026e-17
456_Oligo	HLA-DQA1	7.04063894644342e-18
123_Astro	HLA-DQA1	5.72475174142297e-18
456_Endo	HLA-DQA1	6.09931503626049e-11
456_OPC	HLA-DQA1	1.78811203067275e-17
123_Inh	HLA-DQA1	7.75791922889773e-18
456_Astro	HLA-DQA1	2.25514051876985e-17
123_Exc	HLA-DQA1	3.00891659741670e-12
456_Inh	HLA-DQA1	2.99288370474244e-10
456_Exc	HLA-DQA1	4.51361581140567e-17
123_Endo	HLA-DQA1	1.23667990005555e-10
456_Micro	UNC5CL	8.57246480313213e-11
123_Micro	UNC5CL	1.41400082790415e-16
123_OPC	UNC5CL	4.74896017058642e-10
123_Oligo	UNC5CL	4.39235478300095e-10
456_Oligo	UNC5CL	2.27725719418024e-10
123_Astro	UNC5CL	3.72806217896554e-11
456_Endo	UNC5CL	1.22319990920772e-10
456_OPC	UNC5CL	5.73009889464824e-11
123_Inh	UNC5CL	2.19427091786044e-17
456_Astro	UNC5CL	4.9407327962393e-11
123_Exc	UNC5CL	3.98951563326198e-12
456_Inh	UNC5CL	2.11038219202008e-17
456_Exc	UNC5CL	1.17052370890082e-11
123_Endo	UNC5CL	5.20417042793042e-18
456_Micro	TREM2	9.91756989699218e-10
123_Micro	TREM2	2.26535982163851e-10
123_OPC	TREM2	3.5762240613455e-17
123_Oligo	TREM2	1.05702761574927e-17
456_Oligo	TREM2	3.12370669354625e-17
123_Astro	TREM2	1.39003327537035e-10
456_Endo	TREM2	2.38257763307471e-11
456_OPC	TREM2	5.4856772946511e-18
123_Inh	TREM2	7.75791922889773e-18
456_Astro	TREM2	7.47039709702767e-11
123_Exc	TREM2	5.05159101305033e-17
456_Inh	TREM2	3.94994293154238e-11
456_Exc	TREM2	3.87895961444886e-18
123_Endo	TREM2	8.29050925641857e-11
456_Micro	TREML2	2.4532694666934e-18
123_Micro	TREML2	1.31303699892243e-10
123_OPC	TREML2	1.28009340481321e-16
123_Oligo	TREML2	5.37884201219864e-10
456_Oligo	TREML2	9.0555223987003e-18
123_Astro	TREML2	1.26066187469588e-17
456_Endo	TREML2	1.31852216768312e-14
456_OPC	TREML2	8.7168775853027e-18
123_Inh	TREML2	4.84869951806108e-18
456_Astro	TREML2	2.70138278107801e-17
123_Exc	TREML2	2.33544295323508e-18
456_Inh	TREML2	2.16840434497101e-18
456_Exc	TREML2	1.37979369856214e-17
123_Endo	TREML2	2.7758963540648e-17
456_Micro	CD2AP	5.31314656247146e-10
123_Micro	CD2AP	7.66503576338326e-10
123_OPC	CD2AP	1.36151450684772e-09
123_Oligo	CD2AP	1.46577369325587e-09
456_Oligo	CD2AP	5.58280139589306e-10
123_Astro	CD2AP	4.39275811200152e-10
456_Endo	CD2AP	2.82640811888335e-10
456_OPC	CD2AP	6.08367255227709e-10
123_Inh	CD2AP	2.07011612733813e-10
456_Astro	CD2AP	7.37620523115793e-10
123_Exc	CD2AP	1.44531158970311e-10
456_Inh	CD2AP	5.09024972813586e-10
456_Exc	CD2AP	9.52347301861889e-10
123_Endo	CD2AP	6.06902649049803e-11
456_Micro	HS3ST5	5.01429676278287e-10
123_Micro	HS3ST5	6.57970307724347e-11
123_OPC	HS3ST5	4.76136953582722e-10
123_Oligo	HS3ST5	5.70790101142987e-09
456_Oligo	HS3ST5	1.12398396615942e-09
123_Astro	HS3ST5	9.89181842355011e-11
456_Endo	HS3ST5	2.74255117936258e-09
456_OPC	HS3ST5	3.77101873072221e-10
123_Inh	HS3ST5	6.78030450271161e-10
456_Astro	HS3ST5	3.36212386769639e-10
123_Exc	HS3ST5	6.54698565778362e-10
456_Inh	HS3ST5	8.19648039874298e-10
456_Exc	HS3ST5	1.29079640189665e-10
123_Endo	HS3ST5	4.68360740684006e-10
456_Micro	UMAD1	1.73567486577883e-09
123_Micro	UMAD1	2.32069705216115e-09
123_OPC	UMAD1	1.76185434402973e-09
123_Oligo	UMAD1	3.9186151152341e-10
456_Oligo	UMAD1	1.02910742382629e-09
123_Astro	UMAD1	3.46094866040212e-10
456_Endo	UMAD1	1.52558065759098e-10
456_OPC	UMAD1	2.46642602455119e-09
123_Inh	UMAD1	6.26759552303803e-10
456_Astro	UMAD1	2.21282259422507e-09
123_Exc	UMAD1	3.88699566975515e-10
456_Inh	UMAD1	2.62751538391274e-09
456_Exc	UMAD1	1.0203864053111e-09
123_Endo	UMAD1	4.79469150574408e-10
456_Micro	ICA1	7.93904434514607e-10
123_Micro	ICA1	4.48371491206939e-10
123_OPC	ICA1	6.15904804802526e-10
123_Oligo	ICA1	1.57392842218102e-09
456_Oligo	ICA1	4.25360238373118e-11
123_Astro	ICA1	4.17766622591888e-11
456_Endo	ICA1	8.19892190429188e-10
456_OPC	ICA1	2.73592660659771e-10
123_Inh	ICA1	4.34118799615915e-09
456_Astro	ICA1	3.23660120563187e-11
123_Exc	ICA1	2.00993124111693e-10
456_Inh	ICA1	2.66183589958197e-09
456_Exc	ICA1	4.58304458930906e-09
123_Endo	ICA1	2.16911770536598e-09
456_Micro	TMEM106B	2.59369535108956e-11
123_Micro	TMEM106B	1.08225357686871e-09
123_OPC	TMEM106B	7.56110876923604e-10
123_Oligo	TMEM106B	1.2270344689433e-10
456_Oligo	TMEM106B	1.11515620447158e-09
123_Astro	TMEM106B	3.31020928187896e-10
456_Endo	TMEM106B	5.43140028008802e-11
456_OPC	TMEM106B	3.6800656325865e-10
123_Inh	TMEM106B	7.81103382032502e-10
456_Astro	TMEM106B	5.75929052815755e-10
123_Exc	TMEM106B	1.41435143255487e-10
456_Inh	TMEM106B	1.52173407286711e-09
