cell_type	target	perb_score
123_Sncg-MTG	IDUA	1.37383768945971e-10
123_Sst-MTG	IDUA	6.42933449248596e-11
123_Vip-MTG	IDUA	2.63663790756581e-11
123_VLMC-MTG	IDUA	6.09802001711092e-11
456_Astro	IDUA	1.06980720969735e-10
456_Chandelier-MTG	IDUA	2.40053983080372e-11
456_L4-IT-MTG	IDUA	3.24884895329149e-11
456_L5-ET-MTG	IDUA	2.33432176439019e-11
456_L5-IT-MTG	IDUA	4.27601244188807e-11
456_L56-NP-MTG	IDUA	3.50911283882184e-12
456_L6-CT-MTG	IDUA	5.22242338562048e-11
456_L6-IT-Car3	IDUA	2.22530936914673e-11
456_L6-IT-MTG	IDUA	1.12424845160929e-10
456_L6b-MTG	IDUA	1.92231593204842e-11
456_Lamp5_Lhx6-MTG	IDUA	1.36773312001846e-11
456_Lamp5-MTG	IDUA	6.93491135950562e-11
456_microglia	IDUA	3.5941745915486e-11
456_Oligo-MTG	IDUA	5.82151477588756e-11
456_OPC-MTG	IDUA	4.79523690317009e-11
456_PAX6-MTG	IDUA	7.22565234007902e-11
456_Pvalb	IDUA	1.07270164437836e-10
456_Sncg-MTG	IDUA	2.83279767910784e-11
456_Sst-MTG	IDUA	3.57569069816672e-11
456_Vip-MTG	IDUA	7.35415198668813e-11
456_VLMC-MTG	IDUA	2.82404324909403e-11
123_Astro	CLNK	4.11560422240272e-11
123_Chandelier-MTG	CLNK	2.01460486236462e-11
123_L4-IT-MTG	CLNK	7.27461928767787e-11
123_L5-ET-MTG	CLNK	2.74754950991862e-11
123_L5-IT-MTG	CLNK	1.43632836988599e-11
123_L56-NP-MTG	CLNK	5.8112770423159e-11
123_L6-CT-MTG	CLNK	2.70331419018558e-10
123_L6-IT-Car3	CLNK	9.45741869601466e-11
123_L6-IT-MTG	CLNK	8.33308874853885e-11
123_L6b-MTG	CLNK	8.27955041872316e-11
123_Lamp5_Lhx6-MTG	CLNK	7.05905860426562e-11
123_Lamp5-MTG	CLNK	3.71251336216878e-11
123_microglia	CLNK	4.44067511082246e-11
123_Oligo-MTG	CLNK	3.82443938333607e-11
123_OPC-MTG	CLNK	9.95068756658935e-11
123_PAX6-MTG	CLNK	2.58009889179289e-10
123_Pvalb	CLNK	2.69520067338185e-11
123_Sncg-MTG	CLNK	1.29041397389587e-11
123_Sst-MTG	CLNK	1.09977777715573e-10
123_Vip-MTG	CLNK	1.92851908906198e-11
123_VLMC-MTG	CLNK	4.46387390399195e-11
456_Astro	CLNK	1.68610606178129e-11
456_Chandelier-MTG	CLNK	2.74940776575825e-12
456_L4-IT-MTG	CLNK	4.90740853098578e-11
456_L5-ET-MTG	CLNK	6.04973196186634e-12
456_L5-IT-MTG	CLNK	2.05171305260182e-11
456_L56-NP-MTG	CLNK	2.18465906098062e-12
456_L6-CT-MTG	CLNK	1.55857275470277e-11
456_L6-IT-Car3	CLNK	4.31827058814164e-12
456_L6-IT-MTG	CLNK	1.15633016477046e-10
456_L6b-MTG	CLNK	7.84061809747673e-12
456_Lamp5_Lhx6-MTG	CLNK	1.22881612594535e-11
456_Lamp5-MTG	CLNK	2.05720045121221e-11
456_microglia	CLNK	8.09793933482679e-11
456_Oligo-MTG	CLNK	2.57752435599563e-11
456_OPC-MTG	CLNK	9.030089536048e-12
456_PAX6-MTG	CLNK	6.68827119619283e-11
456_Pvalb	CLNK	4.07429023869921e-10
456_Sncg-MTG	CLNK	6.88538876358564e-12
456_Sst-MTG	CLNK	2.56855654437691e-11
456_Vip-MTG	CLNK	5.37305820744759e-12
456_VLMC-MTG	CLNK	1.54957643559796e-11
123_Astro	RHOH	1.22899023616737e-15
123_Chandelier-MTG	RHOH	1.58240263642863e-12
123_L4-IT-MTG	RHOH	5.07752866530025e-12
123_L5-ET-MTG	RHOH	1.19273925414574e-09
123_L5-IT-MTG	RHOH	4.27416485614341e-12
123_L56-NP-MTG	RHOH	1.70083977502011e-10
123_L6-CT-MTG	RHOH	1.57133455191687e-10
123_L6-IT-Car3	RHOH	1.45663387803504e-11
123_L6-IT-MTG	RHOH	5.72368217189947e-11
123_L6b-MTG	RHOH	3.58390115241818e-11
123_Lamp5_Lhx6-MTG	RHOH	1.46452553757965e-11
123_Lamp5-MTG	RHOH	2.9899090211041e-11
123_microglia	RHOH	1.89958285123844e-17
123_Oligo-MTG	RHOH	7.76692245276426e-18
123_OPC-MTG	RHOH	1.21781429622061e-09
123_PAX6-MTG	RHOH	1.4277113342485e-10
123_Pvalb	RHOH	2.59538091783969e-11
123_Sncg-MTG	RHOH	1.47160632179946e-11
123_Sst-MTG	RHOH	5.56651354287935e-11
123_Vip-MTG	RHOH	1.28942592257293e-17
123_VLMC-MTG	RHOH	1.07886575475631e-10
456_Astro	RHOH	7.32312935179249e-12
456_Chandelier-MTG	RHOH	5.47372735738818e-11
456_L4-IT-MTG	RHOH	6.13243861251304e-11
456_L5-ET-MTG	RHOH	2.89845470923802e-11
456_L5-IT-MTG	RHOH	8.87664042741770e-12
456_L56-NP-MTG	RHOH	5.53701294406293e-12
456_L6-CT-MTG	RHOH	9.75394445754229e-11
456_L6-IT-Car3	RHOH	2.08573372947056e-11
456_L6-IT-MTG	RHOH	7.57824624111661e-11
456_L6b-MTG	RHOH	2.23676664248872e-11
456_Lamp5_Lhx6-MTG	RHOH	1.35263246229672e-11
456_Lamp5-MTG	RHOH	2.18766592935712e-11
456_microglia	RHOH	1.48106283960891e-10
456_Oligo-MTG	RHOH	1.97490655326635e-11
456_OPC-MTG	RHOH	9.47658590156548e-12
456_PAX6-MTG	RHOH	3.72224814159795e-11
456_Pvalb	RHOH	7.87708775444663e-11
456_Sncg-MTG	RHOH	4.25863769775188e-11
456_Sst-MTG	RHOH	2.1413645867111e-11
456_Vip-MTG	RHOH	3.1690723494563e-11
456_VLMC-MTG	RHOH	1.70566874814867e-11
123_Astro	ANKH	7.73968500579826e-09
123_Chandelier-MTG	ANKH	4.54524128967609e-09
123_L4-IT-MTG	ANKH	2.23738750309857e-10
123_L5-ET-MTG	ANKH	2.30858836257941e-09
123_L5-IT-MTG	ANKH	2.84426390952978e-09
123_L56-NP-MTG	ANKH	8.66374668528799e-09
123_L6-CT-MTG	ANKH	7.94440964286915e-09
123_L6-IT-Car3	ANKH	2.00707820132316e-10
123_L6-IT-MTG	ANKH	3.10361677757399e-09
123_L6b-MTG	ANKH	1.14115099067813e-09
123_Lamp5_Lhx6-MTG	ANKH	1.02169967800423e-09
123_Lamp5-MTG	ANKH	4.02191254101413e-09
123_microglia	ANKH	6.2404492020533e-09
123_Oligo-MTG	ANKH	2.51304408906276e-09
123_OPC-MTG	ANKH	7.28292181863057e-10
123_PAX6-MTG	ANKH	8.64471527434203e-09
123_Pvalb	ANKH	3.2148231231986e-09
123_Sncg-MTG	ANKH	8.47731068765959e-09
123_Sst-MTG	ANKH	1.0261438416063e-09
123_Vip-MTG	ANKH	7.02937504286357e-10
123_VLMC-MTG	ANKH	1.10839675156454e-08
456_Astro	ANKH	6.99553954416613e-09
456_Chandelier-MTG	ANKH	3.34198031140756e-09
456_L4-IT-MTG	ANKH	4.78779076252903e-09
456_L5-ET-MTG	ANKH	7.32770340456658e-10
456_L5-IT-MTG	ANKH	3.51115470797623e-09
456_L56-NP-MTG	ANKH	4.90053648483086e-10
456_L6-CT-MTG	ANKH	8.7281680715466e-09
456_L6-IT-Car3	ANKH	5.4457720282073e-10
456_L6-IT-MTG	ANKH	3.64262039744689e-10
456_L6b-MTG	ANKH	3.30435170858141e-10
456_Lamp5_Lhx6-MTG	ANKH	1.84370565256782e-09
456_Lamp5-MTG	ANKH	1.05977884025534e-08
456_microglia	ANKH	1.19454722484221e-09
456_Oligo-MTG	ANKH	4.27988618896487e-09
456_OPC-MTG	ANKH	2.99953456466407e-11
456_PAX6-MTG	ANKH	1.82183192365334e-10
456_Pvalb	ANKH	1.78557014225087e-10
456_Sncg-MTG	ANKH	6.62633966318635e-09
456_Sst-MTG	ANKH	3.37862827412971e-09
456_Vip-MTG	ANKH	8.09782470329083e-10
456_VLMC-MTG	ANKH	5.94487064978775e-09
123_Astro	COX7C	1.50600211441873e-10
123_Chandelier-MTG	COX7C	4.15434467189323e-10
123_L4-IT-MTG	COX7C	4.8324069273987e-10
123_L5-ET-MTG	COX7C	1.11445817830124e-09
123_L5-IT-MTG	COX7C	9.48500112270651e-10
123_L56-NP-MTG	COX7C	3.68047981604183e-10
123_L6-CT-MTG	COX7C	9.81300940109645e-10
123_L6-IT-Car3	COX7C	1.6080326898826e-10
123_L6-IT-MTG	COX7C	1.18631922995686e-10
123_L6b-MTG	COX7C	6.83358394871673e-10
123_Lamp5_Lhx6-MTG	COX7C	1.70678852456466e-09
123_Lamp5-MTG	COX7C	3.66703705792769e-10
123_microglia	COX7C	2.00244319954315e-09
123_Oligo-MTG	COX7C	2.68570187694751e-10
123_OPC-MTG	COX7C	1.58665419319318e-11
123_PAX6-MTG	COX7C	2.62012004330879e-10
123_Pvalb	COX7C	9.83150069776574e-11
123_Sncg-MTG	COX7C	4.5570673060261e-10
123_Sst-MTG	COX7C	1.28266766420197e-10
123_Vip-MTG	COX7C	7.04242104055873e-11
123_VLMC-MTG	COX7C	5.99544847374508e-10
456_Astro	COX7C	4.33270351624972e-10
456_Chandelier-MTG	COX7C	2.23313104717078e-10
456_L4-IT-MTG	COX7C	1.02964227644423e-09
456_L5-ET-MTG	COX7C	4.70052813879067e-10
456_L5-IT-MTG	COX7C	6.44863349854721e-10
456_L56-NP-MTG	COX7C	1.36671914608353e-10
456_L6-CT-MTG	COX7C	1.11495336482494e-10
456_L6-IT-Car3	COX7C	2.19154620426149e-10
456_L6-IT-MTG	COX7C	4.16437943196116e-11
456_L6b-MTG	COX7C	7.14524530347355e-11
456_Lamp5_Lhx6-MTG	COX7C	8.57335196072116e-10
456_Lamp5-MTG	COX7C	1.52898611942663e-10
456_microglia	COX7C	4.27215158193449e-10
456_Oligo-MTG	COX7C	8.77389917362042e-10
456_OPC-MTG	COX7C	1.16821601137796e-10
456_PAX6-MTG	COX7C	4.0862749510307e-10
456_Pvalb	COX7C	2.45772824449051e-10
456_Sncg-MTG	COX7C	2.42598224021854e-11
456_Sst-MTG	COX7C	3.43388974486134e-11
456_Vip-MTG	COX7C	4.78269635703759e-10
456_VLMC-MTG	COX7C	1.1514035939344e-09
123_Astro	UNC5CL	6.98427727803644e-11
123_Chandelier-MTG	UNC5CL	2.06677714568759e-10
123_L4-IT-MTG	UNC5CL	1.04232462017792e-10
123_L5-ET-MTG	UNC5CL	1.75370710285891e-10
123_L5-IT-MTG	UNC5CL	4.17286846997963e-12
123_L56-NP-MTG	UNC5CL	2.8609792490764e-17
123_L6-CT-MTG	UNC5CL	3.92523114670944e-17
123_L6-IT-Car3	UNC5CL	1.01919113170282e-10
123_L6-IT-MTG	UNC5CL	1.26551305102409e-11
123_L6b-MTG	UNC5CL	8.6508219488505e-11
123_Lamp5_Lhx6-MTG	UNC5CL	5.70764227395176e-12
123_Lamp5-MTG	UNC5CL	6.39602871592573e-11
123_microglia	UNC5CL	9.92192258107568e-11
123_Oligo-MTG	UNC5CL	1.67316806798541e-10
123_OPC-MTG	UNC5CL	1.17973950996548e-17
123_PAX6-MTG	UNC5CL	7.19035327957127e-17
123_Pvalb	UNC5CL	1.86101654837649e-12
123_Sncg-MTG	UNC5CL	3.92956160339091e-12
123_Sst-MTG	UNC5CL	4.90077511371942e-11
123_Vip-MTG	UNC5CL	3.30666791431348e-10
123_VLMC-MTG	UNC5CL	6.89495696267452e-11
456_Astro	UNC5CL	1.85183953075504e-11
456_Chandelier-MTG	UNC5CL	3.59429215599106e-11
456_L4-IT-MTG	UNC5CL	1.39048664439199e-17
456_L5-ET-MTG	UNC5CL	5.24455853639226e-12
456_L5-IT-MTG	UNC5CL	3.71261257147502e-12
456_L56-NP-MTG	UNC5CL	1.07936489345618e-12
456_L6-CT-MTG	UNC5CL	1.34916395947686e-11
456_L6-IT-Car3	UNC5CL	2.76850258838701e-12
456_L6-IT-MTG	UNC5CL	1.77208087782204e-11
456_L6b-MTG	UNC5CL	3.14472790445927e-12
456_Lamp5_Lhx6-MTG	UNC5CL	7.29514897713613e-12
456_Lamp5-MTG	UNC5CL	1.08369450920676e-11
456_microglia	UNC5CL	8.32069942371172e-12
456_Oligo-MTG	UNC5CL	3.5234855504311e-11
456_OPC-MTG	UNC5CL	1.36894432822762e-12
456_PAX6-MTG	UNC5CL	2.24636320195305e-10
456_Pvalb	UNC5CL	1.69118942393222e-11
456_Sncg-MTG	UNC5CL	8.51344418231473e-12
456_Sst-MTG	UNC5CL	2.78862194472732e-11
456_Vip-MTG	UNC5CL	2.55147983114802e-12
456_VLMC-MTG	UNC5CL	1.46593931041095e-11
123_Astro	TREM2	1.73163030840673e-15
123_Chandelier-MTG	TREM2	2.04164222331334e-17
123_L4-IT-MTG	TREM2	2.09741333845714e-11
123_L5-ET-MTG	TREM2	6.93889390390723e-18
123_L5-IT-MTG	TREM2	5.99467910690448e-11
123_L56-NP-MTG	TREM2	1.19603106649726e-10
123_L6-CT-MTG	TREM2	7.47341745035227e-17
123_L6-IT-Car3	TREM2	9.63981949087659e-17
123_L6-IT-MTG	TREM2	3.31832285517881e-11
123_L6b-MTG	TREM2	1.87533313704206e-11
123_Lamp5_Lhx6-MTG	TREM2	1.42535389365836e-12
123_Lamp5-MTG	TREM2	2.79300585972964e-17
123_microglia	TREM2	1.64593060421175e-10
123_Oligo-MTG	TREM2	3.10316769155909e-17
123_OPC-MTG	TREM2	6.76133424685085e-10
123_PAX6-MTG	TREM2	1.27570012268057e-16
123_Pvalb	TREM2	5.59431511413976e-17
123_Sncg-MTG	TREM2	2.24361090042672e-10
123_Sst-MTG	TREM2	6.76979779900033e-11
123_Vip-MTG	TREM2	2.0888836804026e-17
123_VLMC-MTG	TREM2	1.35561525908837e-10
456_Astro	TREM2	3.81639164714898e-17
456_Chandelier-MTG	TREM2	1.2509268882771e-16
456_L4-IT-MTG	TREM2	3.11901713154738e-12
456_L5-ET-MTG	TREM2	1.09285075488408e-11
456_L5-IT-MTG	TREM2	9.35004119879577e-12
456_L56-NP-MTG	TREM2	2.95375109806354e-11
456_L6-CT-MTG	TREM2	4.5102810375397e-17
456_L6-IT-Car3	TREM2	1.91430657015944e-11
456_L6-IT-MTG	TREM2	2.61110460050326e-17
456_L6b-MTG	TREM2	8.6862667745934e-12
456_Lamp5_Lhx6-MTG	TREM2	1.74455442310518e-11
456_Lamp5-MTG	TREM2	1.88329054066274e-11
456_microglia	TREM2	4.09877156268546e-10
456_Oligo-MTG	TREM2	7.61913161118605e-12
456_OPC-MTG	TREM2	6.53257734037621e-11
456_PAX6-MTG	TREM2	3.60552488062603e-11
456_Pvalb	TREM2	5.56161126808406e-11
456_Sncg-MTG	TREM2	3.86789565895882e-12
456_Sst-MTG	TREM2	2.11150067670115e-11
456_Vip-MTG	TREM2	5.14805440545305e-12
456_VLMC-MTG	TREM2	4.33929502173468e-12
123_Astro	CD2AP	5.53779468882784e-11
123_Chandelier-MTG	CD2AP	8.0153097601715e-10
123_L4-IT-MTG	CD2AP	9.17377638783698e-11
123_L5-ET-MTG	CD2AP	1.84745049572741e-11
123_L5-IT-MTG	CD2AP	1.75433553864994e-10
