cell_type	target	binding	perb_score
Late_Braak_Sncg	ABCA7	antagonist	3.64571569256678e-10
Late_Braak_L6_IT	ABCA7	antagonist	2.78385896857656e-10
Late_Braak_L6_CT	ABCA7	antagonist	1.59238323417927e-10
Late_Braak_L4_IT	ABCA7	antagonist	1.46425066512838e-10
Late_Braak_Sst	ABCA7	antagonist	2.51328303814278e-10
Late_Braak_OPC	ABCA7	antagonist	2.16681125589021e-10
Late_Braak_L5_ET	ABCA7	antagonist	6.29374396949074e-11
Late_Braak_Sst_Chodl	ABCA7	antagonist	2.65260059172307e-10
Late_Braak_Oligodendrocyte	ABCA7	antagonist	5.3294579758301e-11
Late_Braak_Pvalb	ABCA7	antagonist	3.14067756382219e-11
Late_Braak_L6b	ABCA7	antagonist	2.63353895049007e-10
Late_Braak_Vip	ABCA7	antagonist	2.47713248484861e-10
Late_Braak_Microglia-PVM	ABCA7	antagonist	1.88273643488343e-11
Late_Braak_VLMC	ABCA7	antagonist	8.83643717643230e-11
Early_Braak_Astrocyte	ADAMTS1	antagonist	8.80809361486982e-13
Early_Braak_L6b	ADAMTS1	antagonist	1.9039101655146e-10
Early_Braak_L2_3_IT	ADAMTS1	antagonist	1.16028639847863e-10
Early_Braak_Sst	ADAMTS1	antagonist	5.62027439618639e-11
Early_Braak_L6_IT	ADAMTS1	antagonist	4.93110446291065e-11
Early_Braak_Lamp5_Lhx6	ADAMTS1	antagonist	1.90841580244131e-10
Early_Braak_Microglia-PVM	ADAMTS1	antagonist	1.69784413557257e-11
Early_Braak_L6_CT	ADAMTS1	antagonist	7.87111429030395e-11
Early_Braak_Chandelier	ADAMTS1	antagonist	1.38835316689879e-11
Early_Braak_L6_IT_Car3	ADAMTS1	antagonist	9.67516921160411e-11
Early_Braak_L5_6_NP	ADAMTS1	antagonist	8.48732142484703e-11
Early_Braak_OPC	ADAMTS1	antagonist	2.7865961030386e-10
Early_Braak_L4_IT	ADAMTS1	antagonist	2.4370036679963e-11
Early_Braak_Pax6	ADAMTS1	antagonist	1.69191814477059e-10
Early_Braak_L5_IT	ADAMTS1	antagonist	1.11070469035092e-10
Early_Braak_Oligodendrocyte	ADAMTS1	antagonist	3.43082761535962e-12
Late_Braak_Endothelial	ADAMTS1	antagonist	3.84523986355582e-10
Early_Braak_VLMC	ADAMTS1	antagonist	1.8634359940605e-10
Early_Braak_Vip	ADAMTS1	antagonist	4.56773623189352e-10
Early_Braak_Sncg	ADAMTS1	antagonist	5.08719325439168e-11
Late_Braak_Astrocyte	ADAMTS1	antagonist	8.37035611822741e-11
Late_Braak_Chandelier	ADAMTS1	antagonist	9.84351560608947e-11
Early_Braak_Lamp5	ADAMTS1	antagonist	3.85613639558075e-12
Early_Braak_Pvalb	ADAMTS1	antagonist	1.01365406894394e-10
Late_Braak_L6_IT_Car3	ADAMTS1	antagonist	5.35117687862795e-11
Late_Braak_L2_3_IT	ADAMTS1	antagonist	4.64067343151701e-11
Late_Braak_Lamp5_Lhx6	ADAMTS1	antagonist	1.09668046512728e-10
Late_Braak_L5_IT	ADAMTS1	antagonist	1.55183637383111e-10
Late_Braak_L5_6_NP	ADAMTS1	antagonist	7.48310076565276e-11
Late_Braak_Pax6	ADAMTS1	antagonist	1.40996541441543e-10
Late_Braak_Lamp5	ADAMTS1	antagonist	6.12412164386953e-11
Late_Braak_Sncg	ADAMTS1	antagonist	1.76662404313496e-10
Late_Braak_L6_IT	ADAMTS1	antagonist	5.22183318682866e-11
Late_Braak_L6_CT	ADAMTS1	antagonist	8.36774604944713e-11
Late_Braak_L4_IT	ADAMTS1	antagonist	1.58052567373366e-10
Late_Braak_Sst	ADAMTS1	antagonist	1.38987634717718e-10
Late_Braak_OPC	ADAMTS1	antagonist	1.0369842950535e-10
Late_Braak_L5_ET	ADAMTS1	antagonist	7.08390060866821e-11
Late_Braak_Sst_Chodl	ADAMTS1	antagonist	3.33167706396936e-12
Late_Braak_Oligodendrocyte	ADAMTS1	antagonist	5.78450016670776e-10
Late_Braak_Pvalb	ADAMTS1	antagonist	1.58480857163324e-10
Late_Braak_L6b	ADAMTS1	antagonist	2.64252737258901e-11
Late_Braak_Vip	ADAMTS1	antagonist	1.77003327337158e-10
Late_Braak_Microglia-PVM	ADAMTS1	antagonist	7.40215870973293e-11
Late_Braak_VLMC	ADAMTS1	antagonist	2.76120780917219e-09
Early_Braak_Astrocyte	ADORA1	antagonist	4.34756348536266e-10
Early_Braak_L6b	ADORA1	antagonist	6.65528116133168e-11
Early_Braak_L2_3_IT	ADORA1	antagonist	9.57044244934973e-11
Early_Braak_Sst	ADORA1	antagonist	1.37057372134233e-10
Early_Braak_L6_IT	ADORA1	antagonist	3.14836168584123e-10
Early_Braak_Lamp5_Lhx6	ADORA1	antagonist	5.8755683720046e-11
Early_Braak_Microglia-PVM	ADORA1	antagonist	2.31421685844143e-10
Early_Braak_L6_CT	ADORA1	antagonist	8.212848615659e-10
Early_Braak_Chandelier	ADORA1	antagonist	1.57480869242563e-10
Early_Braak_L6_IT_Car3	ADORA1	antagonist	1.31876417340683e-10
Early_Braak_L5_6_NP	ADORA1	antagonist	1.06696957678432e-09
Early_Braak_OPC	ADORA1	antagonist	6.19613969400948e-10
Early_Braak_L4_IT	ADORA1	antagonist	4.80132832460149e-10
Early_Braak_Pax6	ADORA1	antagonist	4.27052198254287e-10
Early_Braak_L5_IT	ADORA1	antagonist	3.26155904797792e-10
Early_Braak_Oligodendrocyte	ADORA1	antagonist	8.45654569151986e-10
Late_Braak_Endothelial	ADORA1	antagonist	1.36843657261901e-10
Early_Braak_VLMC	ADORA1	antagonist	1.17973950996548e-17
Early_Braak_Vip	ADORA1	antagonist	9.66037185796969e-11
Early_Braak_Sncg	ADORA1	antagonist	8.96268053808139e-11
Late_Braak_Astrocyte	ADORA1	antagonist	5.72348522420296e-10
Late_Braak_Chandelier	ADORA1	antagonist	3.93491915210361e-10
Early_Braak_Lamp5	ADORA1	antagonist	2.59145503006794e-10
Early_Braak_Pvalb	ADORA1	antagonist	1.88452498714761e-10
Late_Braak_L6_IT_Car3	ADORA1	antagonist	3.71176717195415e-10
Late_Braak_L2_3_IT	ADORA1	antagonist	3.80272618018942e-10
Late_Braak_Lamp5_Lhx6	ADORA1	antagonist	2.53256024675222e-10
Late_Braak_L5_IT	ADORA1	antagonist	6.16264945787811e-11
Late_Braak_L5_6_NP	ADORA1	antagonist	2.59668797571721e-10
Late_Braak_Pax6	ADORA1	antagonist	2.5855116966124e-11
Late_Braak_Lamp5	ADORA1	antagonist	3.0409068937134e-10
Late_Braak_Sncg	ADORA1	antagonist	2.12120989007502e-10
Late_Braak_L6_IT	ADORA1	antagonist	8.74596314803904e-11
Late_Braak_L6_CT	ADORA1	antagonist	2.27480496463884e-10
Late_Braak_L4_IT	ADORA1	antagonist	6.16839660491412e-10
Late_Braak_Sst	ADORA1	antagonist	2.09913490649719e-10
Late_Braak_OPC	ADORA1	antagonist	5.79271808232727e-10
Late_Braak_L5_ET	ADORA1	antagonist	3.65467449759011e-10
Late_Braak_Sst_Chodl	ADORA1	antagonist	4.2315490804543e-10
Late_Braak_Oligodendrocyte	ADORA1	antagonist	9.15205091958268e-10
Late_Braak_Pvalb	ADORA1	antagonist	7.13932094268609e-11
Late_Braak_L6b	ADORA1	antagonist	7.21301768198177e-10
Late_Braak_Vip	ADORA1	antagonist	1.07920907245509e-11
Late_Braak_Microglia-PVM	ADORA1	antagonist	3.68340501282957e-11
Late_Braak_VLMC	ADORA1	antagonist	4.27124986232016e-11
Early_Braak_Astrocyte	ABI3	antagonist	2.82943570856427e-11
Early_Braak_L6b	ABI3	antagonist	2.4778010268974e-10
Early_Braak_L2_3_IT	ABI3	antagonist	2.45883372321594e-13
Early_Braak_Sst	ABI3	antagonist	5.2388315608291e-11
Early_Braak_L6_IT	ABI3	antagonist	6.9565200486335e-11
Early_Braak_Lamp5_Lhx6	ABI3	antagonist	1.0075619506466e-11
Early_Braak_Microglia-PVM	ABI3	antagonist	1.01560763203562e-10
Early_Braak_L6_CT	ABI3	antagonist	7.76692303975065e-13
Early_Braak_Chandelier	ABI3	antagonist	9.76545983010547e-11
Early_Braak_L6_IT_Car3	ABI3	antagonist	8.77182481817204e-11
Early_Braak_L5_6_NP	ABI3	antagonist	1.97325249294103e-11
Early_Braak_OPC	ABI3	antagonist	4.41178740137739e-11
Early_Braak_L4_IT	ABI3	antagonist	5.21601950534919e-11
Early_Braak_Pax6	ABI3	antagonist	1.72960192645815e-10
Early_Braak_L5_IT	ABI3	antagonist	2.80234773035341e-12
Early_Braak_Oligodendrocyte	ABI3	antagonist	1.612763710582e-11
Late_Braak_Endothelial	ABI3	antagonist	3.26587665966624e-10
Early_Braak_VLMC	ABI3	antagonist	1.22005352516317e-10
Early_Braak_Vip	ABI3	antagonist	5.40869737507669e-11
Early_Braak_Sncg	ABI3	antagonist	2.61567082968595e-11
Late_Braak_Astrocyte	ABI3	antagonist	1.50473211171457e-10
Late_Braak_Chandelier	ABI3	antagonist	7.2617751643598e-11
Early_Braak_Lamp5	ABI3	antagonist	7.70085509415e-11
Early_Braak_Pvalb	ABI3	antagonist	4.04037142886766e-11
Late_Braak_L6_IT_Car3	ABI3	antagonist	9.32050915772262e-12
Late_Braak_L2_3_IT	ABI3	antagonist	7.50275995362246e-12
Late_Braak_Lamp5_Lhx6	ABI3	antagonist	6.07413640372185e-11
Late_Braak_L5_IT	ABI3	antagonist	6.87212157030902e-11
Late_Braak_L5_6_NP	ABI3	antagonist	5.96656165710646e-11
Late_Braak_Pax6	ABI3	antagonist	2.12921548695709e-11
Late_Braak_Lamp5	ABI3	antagonist	5.16935732231697e-11
Late_Braak_Sncg	ABI3	antagonist	6.76674272594306e-11
Late_Braak_L6_IT	ABI3	antagonist	2.53897549419002e-11
Late_Braak_L6_CT	ABI3	antagonist	6.22575319762741e-11
Late_Braak_L4_IT	ABI3	antagonist	4.7486304853156e-13
Late_Braak_Sst	ABI3	antagonist	5.54101768476643e-11
Late_Braak_OPC	ABI3	antagonist	2.91809591476536e-11
Late_Braak_L5_ET	ABI3	antagonist	7.71490071201353e-11
Late_Braak_Sst_Chodl	ABI3	antagonist	1.44509869229482e-10
Late_Braak_Oligodendrocyte	ABI3	antagonist	3.92523114670944e-17
Late_Braak_Pvalb	ABI3	antagonist	1.52038420809745e-10
Late_Braak_L6b	ABI3	antagonist	1.04964876294782e-11
Late_Braak_Vip	ABI3	antagonist	7.500680061765e-11
Late_Braak_Microglia-PVM	ABI3	antagonist	4.75867613891583e-10
Late_Braak_VLMC	ABI3	antagonist	1.18628054335757e-10
Early_Braak_Astrocyte	BLNK	antagonist	1.23630266713906e-12
Early_Braak_L6b	BLNK	antagonist	9.78059710442962e-11
Early_Braak_L2_3_IT	BLNK	antagonist	1.45627026871637e-10
Early_Braak_Sst	BLNK	antagonist	1.2641922195816e-10
Early_Braak_L6_IT	BLNK	antagonist	8.40990971241545e-11
Early_Braak_Lamp5_Lhx6	BLNK	antagonist	1.21288796504719e-10
Early_Braak_Microglia-PVM	BLNK	antagonist	1.30924265466622e-09
Early_Braak_L6_CT	BLNK	antagonist	9.69588101646701e-11
Early_Braak_Chandelier	BLNK	antagonist	1.22672524967929e-10
Early_Braak_L6_IT_Car3	BLNK	antagonist	5.98412547887864e-11
Early_Braak_L5_6_NP	BLNK	antagonist	1.41555153944442e-10
Early_Braak_OPC	BLNK	antagonist	4.13443825409035e-11
Early_Braak_L4_IT	BLNK	antagonist	5.44456563020068e-11
Early_Braak_Pax6	BLNK	antagonist	1.36632003857284e-10
Early_Braak_L5_IT	BLNK	antagonist	2.73528881402795e-11
Early_Braak_Oligodendrocyte	BLNK	antagonist	1.90265913283512e-10
Late_Braak_Endothelial	BLNK	antagonist	4.18942344266804e-10
Early_Braak_VLMC	BLNK	antagonist	1.87385934805993e-09
Early_Braak_Vip	BLNK	antagonist	1.54013823606925e-10
Early_Braak_Sncg	BLNK	antagonist	1.15707561037897e-10
Late_Braak_Astrocyte	BLNK	antagonist	1.42655798888148e-11
Late_Braak_Chandelier	BLNK	antagonist	1.79017769252493e-11
Early_Braak_Lamp5	BLNK	antagonist	2.49744946105339e-11
Early_Braak_Pvalb	BLNK	antagonist	9.09247824005351e-11
Late_Braak_L6_IT_Car3	BLNK	antagonist	1.6965836236705e-10
Late_Braak_L2_3_IT	BLNK	antagonist	3.05248425896429e-11
Late_Braak_Lamp5_Lhx6	BLNK	antagonist	1.01785746101207e-10
Late_Braak_L5_IT	BLNK	antagonist	1.12060258063347e-10
Late_Braak_L5_6_NP	BLNK	antagonist	1.07297072475561e-10
Late_Braak_Pax6	BLNK	antagonist	1.05220537583485e-10
Late_Braak_Lamp5	BLNK	antagonist	3.90703886815742e-11
Late_Braak_Sncg	BLNK	antagonist	1.64194267638312e-10
Late_Braak_L6_IT	BLNK	antagonist	5.91736053770002e-11
Late_Braak_L6_CT	BLNK	antagonist	4.05530756503289e-11
Late_Braak_L4_IT	BLNK	antagonist	8.97751474860838e-13
Late_Braak_Sst	BLNK	antagonist	7.60323775639842e-11
Late_Braak_OPC	BLNK	antagonist	8.79853062906411e-11
Late_Braak_L5_ET	BLNK	antagonist	1.86320114234665e-11
Late_Braak_Sst_Chodl	BLNK	antagonist	6.44112041755162e-11
Late_Braak_Oligodendrocyte	BLNK	antagonist	3.40927326176886e-10
Late_Braak_Pvalb	BLNK	antagonist	6.52465264789616e-11
Late_Braak_L6b	BLNK	antagonist	1.66313271118341e-10
Late_Braak_Vip	BLNK	antagonist	1.39018366861998e-11
Late_Braak_Microglia-PVM	BLNK	antagonist	9.03428393453406e-10
Late_Braak_VLMC	BLNK	antagonist	1.76642463896037e-10
Early_Braak_Astrocyte	BIN1	antagonist	1.86133513663602e-10
Early_Braak_L6b	BIN1	antagonist	8.1886326518808e-10
