cell_type	target	binding	perb_score
Late_Braak_Vip	APH1B	agonist	4.33806647046514e-10
Late_Braak_OPC	APH1B	agonist	5.1594734037701e-10
Late_Braak_Microglia-PVM	APH1B	agonist	1.02723668984416e-10
Late_Braak_Sncg	APH1B	agonist	5.20704599520129e-11
Late_Braak_VLMC	APH1B	agonist	3.81834323497997e-10
Late_Braak_Sst	APH1B	agonist	5.204559618163e-10
Late_Braak_Pvalb	APH1B	agonist	5.91969651361762e-10
Late_Braak_L5_IT	APH1B	agonist	4.50084392637592e-10
Late_Braak_L5_6_NP	APH1B	agonist	4.45284140115325e-10
Early_Braak_L6_IT_Car3	ABI3	agonist	8.77182481817204e-11
Early_Braak_L4_IT	ABI3	agonist	5.82313158822575e-13
Early_Braak_Astrocyte	ABI3	agonist	5.35208761762272e-12
Early_Braak_Lamp5_Lhx6	ABI3	agonist	8.52409178454179e-11
Early_Braak_Oligodendrocyte	ABI3	agonist	4.47758058578154e-12
Early_Braak_Sncg	ABI3	agonist	1.32863448824998e-11
Early_Braak_L2_3_IT	ABI3	agonist	2.1330168006463e-12
Early_Braak_OPC	ABI3	agonist	5.56884676828905e-11
Late_Braak_Chandelier	ABI3	agonist	1.51284176999259e-10
Early_Braak_L6b	ABI3	agonist	2.4778010268974e-10
Early_Braak_L5_IT	ABI3	agonist	2.80234773035341e-12
Late_Braak_Astrocyte	ABI3	agonist	2.37898409973846e-11
Early_Braak_L6_IT	ABI3	agonist	6.9565200486335e-11
Early_Braak_Lamp5	ABI3	agonist	4.91509758133265e-11
Early_Braak_L6_CT	ABI3	agonist	7.76692303975065e-13
Early_Braak_Microglia-PVM	ABI3	agonist	1.08921684767811e-10
Early_Braak_Vip	ABI3	agonist	8.18714480372641e-11
Early_Braak_Chandelier	ABI3	agonist	9.76545983010547e-11
Early_Braak_L5_6_NP	ABI3	agonist	1.97325249294103e-11
Early_Braak_VLMC	ABI3	agonist	1.22005352516317e-10
Early_Braak_Pax6	ABI3	agonist	1.72960192645815e-10
Late_Braak_Endothelial	ABI3	agonist	3.26587665966624e-10
Early_Braak_Sst	ABI3	agonist	6.52916916617568e-11
Early_Braak_Pvalb	ABI3	agonist	2.2855577957261e-11
Late_Braak_L2_3_IT	ABI3	agonist	6.68590974691892e-11
Late_Braak_Lamp5_Lhx6	ABI3	agonist	7.81399408470399e-11
Late_Braak_L5_ET	ABI3	agonist	7.71490071201353e-11
Late_Braak_Lamp5	ABI3	agonist	1.03384906482816e-10
Late_Braak_L6_IT	ABI3	agonist	6.77525752080904e-12
Late_Braak_L4_IT	ABI3	agonist	3.680888526587e-11
Late_Braak_L6b	ABI3	agonist	2.86643489118448e-11
Late_Braak_Sst_Chodl	ABI3	agonist	1.44509869229482e-10
Late_Braak_L6_CT	ABI3	agonist	8.09334705179282e-11
Late_Braak_L6_IT_Car3	ABI3	agonist	3.97784525600268e-11
Late_Braak_Oligodendrocyte	ABI3	agonist	3.33233821885527e-12
Late_Braak_Pax6	ABI3	agonist	3.30317809575109e-11
Late_Braak_Vip	ABI3	agonist	9.02160108833394e-11
Late_Braak_OPC	ABI3	agonist	1.01744206854462e-10
Late_Braak_Microglia-PVM	ABI3	agonist	3.0629900741398e-10
Late_Braak_Sncg	ABI3	agonist	4.53526645851075e-11
Late_Braak_VLMC	ABI3	agonist	1.18628054335757e-10
Late_Braak_Sst	ABI3	agonist	4.09928384517256e-11
Late_Braak_Pvalb	ABI3	agonist	1.1442171306919e-10
Late_Braak_L5_IT	ABI3	agonist	6.87212157030902e-11
Late_Braak_L5_6_NP	ABI3	agonist	5.96656165710646e-11
Early_Braak_L6_IT_Car3	ALB	agonist	6.34762897465284e-11
Early_Braak_L4_IT	ALB	agonist	9.03379047892839e-11
Early_Braak_Astrocyte	ALB	agonist	1.8186421021226e-10
Early_Braak_Lamp5_Lhx6	ALB	agonist	9.89049425433223e-11
Early_Braak_Oligodendrocyte	ALB	agonist	3.46944695195361e-18
Early_Braak_Sncg	ALB	agonist	7.00378589443728e-11
